Arn_x,DataSetId,Name,CreatedTime,LastUpdatedTime,ImportMode,RowLevelPermissionTagConfigurationApplied,ColumnLevelPermissionRulesApplied,DataSetName,ScheduleId,Interval,DayOfWeek,DayOfMonth,Timezone,TimeOfTheDay,RefreshType,Arn_y
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/042f57f5-5974-44e3-94f0-eaf080a1f19f,042f57f5-5974-44e3-94f0-eaf080a1f19f,Daily rewarded ads watched Experiment wise - Redshift,2023-04-06 13:16:51.432000+00:00,2023-09-11 08:38:41.831000+00:00,SPICE,False,False,Daily rewarded ads watched Experiment wise - Redshift,5e5c8555-e4b2-4795-a65b-668fd2d0b346,DAILY,,,Asia/Calcutta,14:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/042f57f5-5974-44e3-94f0-eaf080a1f19f/refresh-schedule/5e5c8555-e4b2-4795-a65b-668fd2d0b346
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0447f461-b573-4895-af23-5f6ec60840ed,0447f461-b573-4895-af23-5f6ec60840ed,MIS_20220606,2022-06-06 07:18:32.844000+00:00,2022-06-06 07:29:38.070000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/045a420c-02ae-46cc-bd8a-6a7afd742ba0,045a420c-02ae-46cc-bd8a-6a7afd742ba0,Novels Module - Popular Redshift,2023-03-28 15:11:41.668000+00:00,2023-09-10 13:30:05.513000+00:00,SPICE,False,False,Novels Module - Popular Redshift,aabc55cb-5b56-499d-bd11-69380320a609,DAILY,,,Asia/Calcutta,18:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/045a420c-02ae-46cc-bd8a-6a7afd742ba0/refresh-schedule/aabc55cb-5b56-499d-bd11-69380320a609
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/04651ffc-910f-4c07-af55-ffc04190f43f,04651ffc-910f-4c07-af55-ffc04190f43f,Reactivation of Churned Contracted Authors,2023-07-25 17:40:25.580000+00:00,2023-08-09 10:08:31.651000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0472c806-ebf5-495d-ae14-748c854bb65b,0472c806-ebf5-495d-ae14-748c854bb65b,qs sheet - content payment v2 20221123,2022-11-23 11:51:05.437000+00:00,2022-11-23 11:51:25.070000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/04732e11-9814-4d05-8c4e-dda2221b4afb,04732e11-9814-4d05-8c4e-dda2221b4afb,Audio Ad Impressions Redshift,2022-12-20 08:06:22.080000+00:00,2022-12-20 08:13:39.462000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/04793bb8-0f24-4d95-b791-c350c05e4fed,04793bb8-0f24-4d95-b791-c350c05e4fed,Total Readers Data,2022-12-14 17:16:37.073000+00:00,2022-12-20 13:30:35.969000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/048ee4a3-a5e3-438f-9b6c-c4f2bca444c5,048ee4a3-a5e3-438f-9b6c-c4f2bca444c5,Subs+PPV Exp Revenue Data Metrics - redshift,2023-08-04 08:55:12.439000+00:00,2023-09-11 08:46:54.269000+00:00,SPICE,False,False,Subs+PPV Exp Revenue Data Metrics - redshift,57b6e96b-fa62-44a3-9497-6d48434ba848,DAILY,,,Asia/Calcutta,13:15,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/048ee4a3-a5e3-438f-9b6c-c4f2bca444c5/refresh-schedule/57b6e96b-fa62-44a3-9497-6d48434ba848
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/04a47957-7f47-45d4-a97a-fabccd6faa73,04a47957-7f47-45d4-a97a-fabccd6faa73,Writers Welcome Exp,2023-02-03 09:31:31.070000+00:00,2023-03-01 13:28:39.250000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/04af7970-eb65-41a0-b6cc-404fdb0977ff,04af7970-eb65-41a0-b6cc-404fdb0977ff,Impressions Show Wise redshift,2023-04-03 02:37:30.633000+00:00,2023-09-10 15:19:03.746000+00:00,SPICE,False,False,Impressions Show Wise redshift,1d95401c-3f01-42b6-8bcf-3081d971a5c5,WEEKLY,SUNDAY,,Asia/Calcutta,20:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/04af7970-eb65-41a0-b6cc-404fdb0977ff/refresh-schedule/1d95401c-3f01-42b6-8bcf-3081d971a5c5
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/04b35a7d-a1e5-47e1-9ab0-e3278f14e542,04b35a7d-a1e5-47e1-9ab0-e3278f14e542,North Star Metrics - Spenders Retention Pod Novel Redshift,2023-01-10 11:29:49.324000+00:00,2023-09-04 13:55:54.569000+00:00,SPICE,False,False,North Star Metrics - Spenders Retention Pod Novel Redshift,30c88a99-a03c-4032-b331-179670195440,WEEKLY,MONDAY,,Asia/Calcutta,18:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/04b35a7d-a1e5-47e1-9ab0-e3278f14e542/refresh-schedule/30c88a99-a03c-4032-b331-179670195440
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/054116d9-2b33-4f05-a429-cc771ab0c1bc,054116d9-2b33-4f05-a429-cc771ab0c1bc,Show retention normalized,2023-05-19 10:12:14.697000+00:00,2023-09-09 15:00:33.132000+00:00,SPICE,False,False,Show retention normalized,d90b3644-a5d6-4c92-b071-a6d259a615eb,WEEKLY,TUESDAY,,Asia/Calcutta,20:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/054116d9-2b33-4f05-a429-cc771ab0c1bc/refresh-schedule/d90b3644-a5d6-4c92-b071-a6d259a615eb
