DataSetId,DataSetName,ScheduleId,Interval,DayOfWeek,DayOfMonth,Timezone,TimeOfTheDay,RefreshType,Arn
1008d981-0825-49fb-bb8a-6753b35fc062,Peformance_shows_daily,ca7d0a66-5a63-42b4-8087-c5f7fafacd0b,DAILY,,,Asia/Calcutta,09:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/1008d981-0825-49fb-bb8a-6753b35fc062/refresh-schedule/ca7d0a66-5a63-42b4-8087-c5f7fafacd0b
105d565e-a961-4f89-a178-3f0a958d0848,uninstall_cohort_separate,018a12dc-552b-4cb6-a365-fd4069156980,DAILY,,,Asia/Calcutta,09:50,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/105d565e-a961-4f89-a178-3f0a958d0848/refresh-schedule/018a12dc-552b-4cb6-a365-fd4069156980
113890e0-a5b0-4f11-983f-0d0fa90acb3d,Novel Experiment Agg Metrics,fbc738c7-896b-4f24-af90-5898487a0cdc,DAILY,,,Asia/Calcutta,16:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/113890e0-a5b0-4f11-983f-0d0fa90acb3d/refresh-schedule/fbc738c7-896b-4f24-af90-5898487a0cdc
116f7447-941a-4eda-8259-60bbfcdf3368,churned_within_timeline,a6b3c0c7-f7e3-40f7-b4b0-0ce14e69dee5,DAILY,,,Asia/Calcutta,16:20,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/116f7447-941a-4eda-8259-60bbfcdf3368/refresh-schedule/a6b3c0c7-f7e3-40f7-b4b0-0ce14e69dee5
11da263b-1ea3-404f-8a71-084f75c01edf,Activated Users Monthly Retention Novels Redshift,c2a22702-7c77-4e0c-b996-4f61620bc65e,DAILY,,,Asia/Calcutta,14:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/11da263b-1ea3-404f-8a71-084f75c01edf/refresh-schedule/c2a22702-7c77-4e0c-b996-4f61620bc65e
121c10ad-8c7e-42fd-b62a-7f8cdcdf7ba4,Novel Word Count Over Time Redshift,300b08df-e7c9-4f21-a1cc-3aa6fbb90d79,WEEKLY,MONDAY,,Asia/Calcutta,17:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/121c10ad-8c7e-42fd-b62a-7f8cdcdf7ba4/refresh-schedule/300b08df-e7c9-4f21-a1cc-3aa6fbb90d79
123a18f3-36f3-43c9-a3bc-cac44f9c5f09,Rdau Eng Rejected,878205b3-3835-4b2a-aed4-69f679cbda9a,DAILY,,,Asia/Calcutta,15:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/123a18f3-36f3-43c9-a3bc-cac44f9c5f09/refresh-schedule/878205b3-3835-4b2a-aed4-69f679cbda9a
123b0ab8-5e77-45bc-aaa9-4b383bd9165f,Core Metrics Novel New Redshift,c92926a0-10e8-499e-ac21-dee300d68aef,DAILY,,,Asia/Calcutta,13:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/123b0ab8-5e77-45bc-aaa9-4b383bd9165f/refresh-schedule/c92926a0-10e8-499e-ac21-dee300d68aef
12989e42-da0a-4787-a6d2-af9adaa2498b,att_install_cohort_data,25be6d7a-8f17-4af7-ad0b-a39d3bc5abb0,WEEKLY,SUNDAY,,Asia/Calcutta,10:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/12989e42-da0a-4787-a6d2-af9adaa2498b/refresh-schedule/25be6d7a-8f17-4af7-ad0b-a39d3bc5abb0
12d15dfb-340a-4a07-af16-8ead12ec576a,Platinum & Gold Authors Charts,e0c7d5db-4e69-472b-a195-fd116c4e3880,DAILY,,,Asia/Calcutta,14:35,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/12d15dfb-340a-4a07-af16-8ead12ec576a/refresh-schedule/e0c7d5db-4e69-472b-a195-fd116c4e3880
13678fd3-1c15-4b47-90af-f67c78c5a0ca,Contest New Conversion Extended Funnel Novels,ec26873d-868a-4ce5-8a97-766417f46221,DAILY,,,Asia/Calcutta,15:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/13678fd3-1c15-4b47-90af-f67c78c5a0ca/refresh-schedule/ec26873d-868a-4ce5-8a97-766417f46221
15c1503d-b2f9-4d2b-8cb4-7296f8506a0e,Hindi Readers - Platform Level Daily Redshift,ed1f2aac-9012-40a1-a3ee-054872b40bcf,DAILY,,,Asia/Calcutta,15:40,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/15c1503d-b2f9-4d2b-8cb4-7296f8506a0e/refresh-schedule/ed1f2aac-9012-40a1-a3ee-054872b40bcf
